Book_name,Author_name,Duration
1% Lifesteal,By: Robert Blaise,Length: 16 hrs and 36 mins
The Scarlet Wolf: A Blood Magic Lycanthrope LitRPG,By: Shane Purdy,Length: 17 hrs and 47 mins
Task Force Hammer,By: Craig Alanson,Length: 22 hrs and 9 mins
House of Sky and Breath,By: Sarah J. Maas,Length: 27 hrs and 42 mins
Toxic,By: Nicole Blanchard,Length: 7 hrs and 18 mins
Golden Son,By: Pierce Brown,Length: 19 hrs and 3 mins
Husband Missing,By: Lisa Regan,Length: 13 hrs and 12 mins
Seven of Hearts,By: Maggie Gates,Length: 9 hrs and 30 mins
Time Chaser,By: Rick Gualtieri,Length: 22 hrs and 10 mins
Cyrus the Great Makers of History,By: Jacob Abbott,Length: 7 hrs and 3 mins
Rhino: The Rise of a Warrior,By: Nicholas Sansbury Smith,Length: 12 hrs and 57 mins
Chair Yoga for Seniors Made Easy,By: Eric Santagada,Length: 4 hrs and 15 mins
Halloween,"By: Michael Harbut, Michael Anderson",Length: 3 mins
Rise of the Isekai Hero 2,By: Jason Marino,Length: 14 hrs and 20 mins
Into the Gray Zone,By: Brad Taylor,Length: 12 hrs and 29 mins
Finding Lord Landry,By: Lucy Lennox,Length: 9 hrs and 57 mins
Mountain Boss,By: S.J. Tilly,Length: 9 hrs and 40 mins
Disney Classic Stories: Coco,By: Adrian Molina,Length: 5 mins
Catching Fire,By: Suzanne Collins,Length: 11 hrs and 3 mins
Orion Spur: Paragon's Virtue,By: Alan D. Hansen,Length: 6 hrs and 44 mins
What the Puck!,By: Jason Fronde,Length: 37 mins
The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 11 hrs and 38 mins
Rule of the Aurora King,By: Nisha J. Tuli,Length: 14 hrs and 26 mins
I Will Break You,By: Gigi Styx,Length: 17 hrs and 33 mins
He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
The Eye of the Bedlam Bride,By: Matt Dinniman,Length: 26 hrs and 46 mins
Hannibal,By: Jacob Abbott,Length: 6 hrs and 5 mins
Smart Money,"By: Brunello Rosa, Casey Larsen",Length: 12 hrs
Father’s Day,"By: Michael Harbut, Michael Anderson",Length: 2 mins
"Haumeah, Volume 4 (Demeter)",By: Alan D. Hansen,Length: 7 hrs and 49 mins
Fight,"By: Jonathan Allen, Amie Parnes",Length: 11 hrs and 18 mins
"Love, Mom",By: Iliana Xander,Length: 9 hrs and 37 mins
Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
Death at Inishmore Castle,By: Lucy Connelly,Length: 6 hrs and 32 mins
A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
