date,home_team,scores,away_team
13-01-2025,Brentford,2 - 2,Man City
18-01-2025,Ipswich,0 - 6,Man City
24-01-2025,Man City,3 - 1,Chelsea
01-02-2025,Arsenal,5 - 1,Man City
14-02-2025,Man City,4 - 0,Newcastle
22-02-2025,Man City,0 - 2,Liverpool
25-02-2025,Tottenham,0 - 1,Man City
07-03-2025,Nott'm Forest,1 - 0,Man City
14-03-2025,Man City,2 - 2,Brighton
01-04-2025,Man City,2 - 0,Leicester
05-04-2025,Man United,0 - 0,Man City
11-04-2025,Man City,5 - 2,Crystal Palace
15-08-2024,Man United,1 - 0,Fulham
23-08-2024,Brighton,2 - 1,Man United
31-08-2024,Man United,0 - 3,Liverpool
13-09-2024,Southampton,0 - 3,Man United
20-09-2024,Crystal Palace,0 - 0,Man United
28-09-2024,Man United,0 - 3,Tottenham
05-10-2024,Aston Villa,0 - 0,Man United
18-10-2024,Man United,2 - 1,Brentford
26-10-2024,West Ham,2 - 1,Man United
02-11-2024,Man United,1 - 1,Chelsea
09-11-2024,Man United,3 - 0,Leicester
23-11-2024,Ipswich,1 - 1,Man United
30-11-2024,Man United,4 - 0,Everton
03-12-2024,Arsenal,2 - 0,Man United
06-12-2024,Man United,2 - 3,Nott'm Forest
14-12-2024,Man City,1 - 2,Man United
21-12-2024,Man United,0 - 3,Bournemouth
25-12-2024,Wolves,2 - 0,Man United
29-12-2024,Man United,0 - 2,Newcastle
04-01-2025,Liverpool,2 - 2,Man United
15-01-2025,Man United,3 - 1,Southampton
18-01-2025,Man United,1 - 3,Brighton
25-01-2025,Fulham,0 - 1,Man United
01-02-2025,Man United,0 - 2,Crystal Palace
15-02-2025,Tottenham,1 - 0,Man United
21-02-2025,Everton,2 - 2,Man United
25-02-2025,Man United,3 - 2,Ipswich
08-03-2025,Man United,1 - 1,Arsenal
15-03-2025,Leicester,0 - 3,Man United
31-03-2025,Nott'm Forest,1 - 0,Man United
05-04-2025,Man United,0 - 0,Man City
16-08-2024,Newcastle,1 - 0,Southampton
24-08-2024,Bournemouth,1 - 1,Newcastle
31-08-2024,Newcastle,2 - 1,Tottenham
14-09-2024,Wolves,1 - 2,Newcastle
20-09-2024,Fulham,3 - 1,Newcastle
27-09-2024,Newcastle,1 - 1,Man City
04-10-2024,Everton,0 - 0,Newcastle
18-10-2024,Newcastle,0 - 1,Brighton
26-10-2024,Chelsea,2 - 1,Newcastle
01-11-2024,Newcastle,1 - 0,Arsenal
09-11-2024,Nott'm Forest,1 - 3,Newcastle
24-11-2024,Newcastle,0 - 2,West Ham
29-11-2024,Crystal Palace,1 - 1,Newcastle
03-12-2024,Newcastle,3 - 3,Liverpool
06-12-2024,Brentford,4 - 2,Newcastle
13-12-2024,Newcastle,4 - 0,Leicester
20-12-2024,Ipswich,0 - 4,Newcastle
25-12-2024,Newcastle,3 - 0,Aston Villa
29-12-2024,Man United,0 - 2,Newcastle
03-01-2025,Tottenham,1 - 2,Newcastle
14-01-2025,Newcastle,3 - 0,Wolves
17-01-2025,Newcastle,1 - 4,Bournemouth
24-01-2025,Southampton,1 - 3,Newcastle
31-01-2025,Newcastle,1 - 2,Fulham
14-02-2025,Man City,4 - 0,Newcastle
22-02-2025,Newcastle,4 - 3,Nott'm Forest
25-02-2025,Liverpool,2 - 0,Newcastle
09-03-2025,West Ham,0 - 1,Newcastle
01-04-2025,Newcastle,2 - 1,Brentford
06-04-2025,Leicester,0 - 3,Newcastle
16-08-2024,Nott'm Forest,1 - 1,Bournemouth
23-08-2024,Southampton,0 - 1,Nott'm Forest
30-08-2024,Nott'm Forest,1 - 1,Wolves
13-09-2024,Liverpool,0 - 1,Nott'm Forest
21-09-2024,Brighton,2 - 2,Nott'm Forest
27-09-2024,Nott'm Forest,0 - 1,Fulham
05-10-2024,Chelsea,1 - 1,Nott'm Forest
20-10-2024,Nott'm Forest,1 - 0,Crystal Palace
24-10-2024,Leicester,1 - 3,Nott'm Forest
01-11-2024,Nott'm Forest,3 - 0,West Ham
09-11-2024,Nott'm Forest,1 - 3,Newcastle
22-11-2024,Arsenal,3 - 0,Nott'm Forest
29-11-2024,Nott'm Forest,1 - 0,Ipswich
03-12-2024,Man City,3 - 0,Nott'm Forest
06-12-2024,Man United,2 - 3,Nott'm Forest
13-12-2024,Nott'm Forest,2 - 1,Aston Villa
20-12-2024,Brentford,0 - 2,Nott'm Forest
25-12-2024,Nott'm Forest,1 - 0,Tottenham
28-12-2024,Everton,0 - 2,Nott'm Forest
05-01-2025,Wolves,0 - 3,Nott'm Forest
13-01-2025,Nott'm Forest,1 - 1,Liverpool
18-01-2025,Nott'm Forest,3 - 2,Southampton
24-01-2025,Bournemouth,5 - 0,Nott'm Forest
31-01-2025,Nott'm Forest,7 - 0,Brighton
14-02-2025,Fulham,2 - 1,Nott'm Forest
22-02-2025,Newcastle,4 - 3,Nott'm Forest
25-02-2025,Nott'm Forest,0 - 0,Arsenal
